Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,gps,lat,long,dep
200800000001,8,1,22,1015,1,2,1,1,6,33424,M,4515400.0,-82600.0,33
200800000002,8,1,10,815,1,1,1,1,7,33348,M,0.0,0.0,33
200800000003,8,1,16,800,2,2,1,1,3,33350,M,4478200.0,-12500.0,33
200800000004,8,1,20,1100,1,1,1,1,2,33394,M,4491400.0,-19900.0,33
200800000005,8,1,25,645,5,2,1,1,3,33394,M,4490000.0,-15500.0,33
200800000006,8,1,3,1000,1,1,1,8,3,33014,M,0.0,0.0,33
200800000007,8,1,5,15,3,2,3,2,3,33261,M,4495300.0,-9000.0,33
200800000008,8,1,26,1615,1,1,1,1,7,24026,M,0.0,0.0,24
200800000009,8,1,14,1600,1,2,1,3,7,24372,M,0.0,0.0,24
200800000010,8,1,21,1030,1,1,1,1,6,24527,M,4528100.0,92300.0,24
200800000011,8,1,27,1800,2,1,1,1,7,24188,M,4515500.0,101000.0,24
200800000012,8,1,28,1415,1,1,1,1,7,24147,M,4526900.0,94200.0,24
200800000013,8,1,30,700,3,1,3,1,3,24147,M,4523100.0,95200.0,24
200800000014,8,1,8,2030,3,1,1,1,1,24276,M,0.0,0.0,24
200800000015,8,1,4,1115,1,1,1,8,1,24189,M,0.0,0.0,24
200800000016,8,1,10,1645,3,1,1,2,2,24226,M,0.0,0.0,24
200800000017,8,1,10,1830,5,1,1,1,1,24568,M,4485500.0,11200.0,24
200800000018,8,1,25,1215,1,1,1,1,5,24226,M,4485800.0,1500.0,24
200800000019,8,1,13,45,3,1,1,1,3,24214,M,0.0,0.0,24
200800000020,8,1,5,2215,3,1,1,3,1,24133,M,4553300.0,96700.0,24
200800000021,8,1,13,1900,3,1,1,1,5,24551,M,4546400.0,94400.0,24
200800000022,8,1,15,530,3,1,1,8,6,24304,M,4541100.0,94300.0,24
200800000023,8,1,22,845,1,1,1,2,4,24496,M,4541900.0,87700.0,24
200800000024,8,1,13,1200,1,1,2,1,3,24038,M,4530800.0,36200.0,24
200800000025,8,1,28,845,1,2,1,1,6,24352,M,4524900.0,34300.0,24
200800000026,8,1,31,515,4,1,1,1,6,24294,M,4501400.0,17800.0,24
200800000027,8,1,29,1615,1,1,1,8,5,24577,M,0.0,0.0,24
200800000028,8,1,15,730,2,1,1,2,1,24230,M,0.0,0.0,24
200800000029,8,1,28,300,3,2,1,1,6,24035,M,4478600.0,101300.0,24
200800000030,8,1,4,1045,1,1,1,2,1,24254,M,0.0,0.0,24
200800000031,8,1,3,915,1,1,1,8,7,24229,M,4514000.0,120000.0,24
200800000032,8,1,30,1245,1,2,1,1,3,24229,M,4513200.0,122500.0,24
200800000033,8,1,12,515,5,1,1,8,6,40250,M,4394900.0,-40600.0,40
200800000034,8,1,19,1830,5,2,1,1,3,40288,M,0.0,0.0,40
200800000035,8,1,25,830,2,1,1,1,6,40115,M,0.0,0.0,40
