Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
202100000001,1,1,,0,2,1,1,B01
202100000001,1,7,,0,9,3,17,A01
202100000002,0,7,,2,2,1,1,A01
202100000002,0,7,,0,2,1,9,B01
202100000003,1,7,,0,1,3,1,A01
202100000004,1,7,,0,2,3,15,A01
202100000004,-1,60,,0,0,7,19,D01
202100000005,2,7,,0,2,4,1,A01
202100000005,2,7,,0,2,1,0,Z01
202100000006,2,1,,0,0,5,1,B01
202100000006,2,7,,0,2,1,1,A01
202100000007,3,7,,0,2,2,11,B01
202100000007,3,7,,0,2,2,1,A01
202100000008,2,32,,0,2,1,1,B01
202100000008,2,7,,0,0,6,10,A01
202100000009,1,7,,0,2,5,15,A01
202100000009,2,7,,0,2,1,1,B01
202100000010,1,99,,0,2,7,7,A01
202100000010,1,37,4.0,0,2,3,2,B01
202100000011,3,7,,0,2,2,16,A01
202100000011,3,99,,0,2,1,26,B01
202100000012,2,7,,0,2,2,1,A01
202100000012,1,10,,16,2,2,19,B01
202100000013,1,7,,0,2,1,2,A01
202100000013,1,2,,0,0,4,2,B01
202100000014,1,7,,0,2,2,16,A01
202100000014,1,60,,0,2,0,0,B01
202100000015,1,7,,0,2,3,1,B01
202100000015,1,7,,0,2,2,19,A01
202100000016,1,15,,1,0,1,1,A01
202100000017,2,7,,0,0,7,5,A01
202100000017,1,7,,0,0,1,1,B01
202100000018,2,7,,0,0,4,1,B01
202100000018,2,14,,0,2,1,1,A01
202100000019,2,7,,0,2,8,1,B01
202100000019,1,7,,0,2,3,13,A01
202100000020,2,0,,0,2,5,2,A01
202100000020,2,33,,0,2,4,2,B01
202100000021,1,32,,0,2,7,0,B01
202100000021,1,7,,0,2,3,19,A01
202100000022,1,7,,0,2,1,0,A01
202100000022,1,7,,9,2,2,15,B01
202100000023,1,7,,0,1,1,19,A01
202100000024,2,7,,0,2,1,1,B01
202100000024,1,7,,0,2,1,5,A01
202100000025,2,33,,5,0,1,1,A01
202100000026,1,7,,0,2,5,23,C01
202100000026,1,7,,0,0,3,22,B01
202100000026,1,33,,0,2,7,3,A01
202100000027,2,2,,0,2,4,1,A01
202100000027,2,10,,0,2,2,2,B01
202100000028,3,7,,0,2,3,9,A01
202100000028,1,32,,0,2,1,21,B01
202100000029,1,10,,0,1,2,1,A01
202100000030,2,7,,0,1,1,1,A01
202100000031,1,7,,1,0,4,26,A01
202100000032,3,15,,0,2,1,2,B01
202100000032,3,99,,0,2,4,1,A01
202100000033,3,7,,0,1,1,17,A01
202100000034,1,7,,0,1,1,20,A01
202100000035,1,7,,0,1,1,16,A01
202100000036,1,10,,13,0,1,1,A01
202100000037,2,7,,0,1,2,1,A01
202100000038,1,1,,0,2,1,1,B01
202100000038,1,0,,0,2,4,17,A01
202100000039,1,7,,0,2,7,15,A01
202100000039,2,2,,0,2,1,1,B01
202100000040,1,31,,0,2,1,19,B01
202100000040,1,34,,16,0,1,26,A01
202100000041,1,7,,0,2,1,1,A01
202100000041,1,32,,0,2,7,21,B01
202100000042,1,7,,0,2,3,1,B01
202100000042,2,7,,0,2,3,13,A01
